Year,Country,Happiness Score,Social Support,Healthy Life Expectancy,Freedom,Corruption,Generosity,Log GDP per Capita
2015,Afghanistan,3.575,0.30285,0.30335,0.23414,0.09719,0.3651,7.643629194
2016,Afghanistan,3.36,0.11037,0.17344,0.1643,0.07112,0.31268,7.591416646
2017,Afghanistan,3.79399991,0.581543326,0.180746779,0.10617952,0.06115783,0.311870933,7.629684368
2018,Afghanistan,3.632,0.537,0.255,0.085,0.036,0.191,7.641389509
2019,Afghanistan,3.203,0.517,0.361,0,0.025,0.158,7.674323208
2020,Afghanistan,2.566900015,0.470366955,52.59000015,0.396573007,0.933686554,-0.0964294,7.639473257
2021,Afghanistan,2.523,0.463,52.493,0.382,0.924,-0.102,7.695
2015,Albania,4.959,0.80434,0.81325,0.35733,0.06413,0.14272,9.363825589
2016,Albania,4.655,0.50163,0.73007,0.31866,0.05301,0.1684,9.3992107
2017,Albania,4.644000053,0.803685248,0.731159747,0.381498635,0.039864216,0.201312944,9.454929458
2018,Albania,4.586,0.817,0.79,0.419,0.032,0.149,9.509185773
2019,Albania,4.719,0.848,0.874,0.383,0.027,0.178,9.547739068
2020,Albania,4.882699966,0.671070457,68.70813751,0.781994224,0.896303713,-0.042309489,9.505965709
2021,Albania,5.117,0.697,68.999,0.785,0.901,-0.03,9.52
2015,Algeria,5.605,1.07772,0.61766,0.28579,0.17383,0.07822,9.393964458
2016,Algeria,6.355,0.83309,0.61804,0.21006,0.16157,0.07044,9.360856522
2017,Algeria,5.872000217,1.146217465,0.617584646,0.233335808,0.14609611,0.069436647,9.370535709
2018,Algeria,5.295,1.154,0.687,0.077,0.135,0.055,9.38512777
2019,Algeria,5.211,1.16,0.785,0.086,0.114,0.073,9.393432316
2020,Algeria,5.005099773,0.803385139,65.90517426,0.466610909,0.735485137,-0.121105164,9.33470047
2021,Algeria,4.887,0.802,66.005,0.48,0.752,-0.067,9.342
2015,Argentina,6.574,1.24823,0.78723,0.44974,0.08484,0.11451,9.908733717
2016,Argentina,6.65,1.06612,0.69711,0.42284,0.07296,0.10989,9.918763777
2017,Argentina,6.598999977,1.440451145,0.695137084,0.494519204,0.059739888,0.109457061,10.06887985
2018,Argentina,6.388,1.468,0.744,0.57,0.054,0.062,10.05592528
2019,Argentina,6.086,1.432,0.881,0.471,0.05,0.066,10.04321797
2020,Argentina,5.974699974,0.900567949,68.80380249,0.831132412,0.842009842,-0.194913864,9.941299891
2021,Argentina,5.929,0.898,69,0.828,0.834,-0.182,9.962
2015,Armenia,4.35,0.77711,0.7299,0.19847,0.039,0.07855,9.207302247
2016,Armenia,4.36,0.62477,0.64083,0.14037,0.03616,0.07793,9.278394247
2017,Armenia,4.375999928,1.007483721,0.637524426,0.198303267,0.026674422,0.083488092,9.402211131
2018,Armenia,4.321,0.99,0.666,0.26,0.028,0.077,9.474272355
2019,Armenia,4.559,1.055,0.815,0.283,0.064,0.095,9.563190624
2020,Armenia,4.676799774,0.757479429,66.75065613,0.712017834,0.773544788,-0.13877961,9.496429716
2021,Armenia,5.283,0.799,67.055,0.825,0.629,-0.168,9.487
2015,Australia,7.284,1.30923,0.93156,0.65124,0.35637,0.43562,10.74178683
2016,Australia,7.313,1.10476,0.8512,0.56837,0.32331,0.47407,10.76332024
2017,Australia,7.28399992,1.510041952,0.843886793,0.601607382,0.30118373,0.47769925,10.78722513
2018,Australia,7.272,1.573,0.91,0.647,0.302,0.361,10.82315632
2019,Australia,7.228,1.548,1.036,0.557,0.29,0.332,10.85414875
2020,Australia,7.222799778,0.944854617,73.60453796,0.915431738,0.41516912,0.19046016,10.88425071
2021,Australia,7.183,0.94,73.9,0.914,0.442,0.159,10.796
2015,Austria,7.2,1.29704,0.89042,0.62433,0.18676,0.33088,10.81709276
2016,Austria,7.119,1.08383,0.80565,0.54355,0.21348,0.32865,10.87206741
2017,Austria,7.006000042,1.459944963,0.815328419,0.56776619,0.221060365,0.316472322,10.89993766
2018,Austria,7.139,1.504,0.891,0.617,0.224,0.242,10.95010615
2019,Austria,7.246,1.475,1.016,0.532,0.226,0.244,10.96951378
2020,Austria,7.294199944,0.928045869,73.00250244,0.899989486,0.499954879,0.085429221,10.92744527
2021,Austria,7.268,0.934,73.3,0.908,0.481,0.042,10.906
2015,Azerbaijan,5.212,0.93793,0.64045,0.3703,0.16065,0.07799,9.611690434
2016,Azerbaijan,5.291,0.76042,0.54504,0.35327,0.17914,0.0564,9.572969148
2017,Azerbaijan,5.234000206,1.152400255,0.540775776,0.398155838,0.180987507,0.04526934,9.555447148
2018,Azerbaijan,5.201,1.161,0.603,0.43,0.176,0.031,9.585398699
2019,Azerbaijan,5.208,1.147,0.769,0.351,0.182,0.035,9.619318892
2020,Azerbaijan,5.164800167,0.819308281,65.50839996,0.786824107,0.55253756,-0.240255281,9.580503321
2021,Azerbaijan,5.171,0.836,65.656,0.814,0.506,-0.223,9.569
2015,Bahrain,5.96,1.21624,0.74716,0.45492,0.306,0.17362,10.72713179
2016,Bahrain,6.218,0.94397,0.65696,0.47375,0.25772,0.17147,10.70927056
2017,Bahrain,6.086999893,1.323110461,0.653133035,0.536746919,0.25704217,0.172668487,10.77289165
2018,Bahrain,6.105,1.366,0.698,0.594,0.123,0.243,10.76854945
2019,Bahrain,6.199,1.368,0.871,0.536,0.11,0.255,10.76274433
2020,Bahrain,6.227300167,0.876342118,68.5,0.905855775,0.7393471,0.13372919,10.68638073
2021,Bahrain,6.647,0.862,69.495,0.925,0.722,0.089,10.669
2015,Bangladesh,4.694,0.43106,0.60164,0.4082,0.12569,0.21222,8.176252459
2016,Bangladesh,4.643,0.24749,0.52989,0.39778,0.12583,0.19132,8.255557654
2017,Bangladesh,4.607999802,0.735131741,0.533241034,0.478356659,0.123717859,0.172255352,8.333439407
2018,Bangladesh,4.5,0.85,0.579,0.58,0.144,0.153,8.422328516
2019,Bangladesh,4.456,0.928,0.723,0.527,0.143,0.166,8.508104383
2020,Bangladesh,4.832799911,0.687292993,64.50306702,0.90062499,0.661843538,-0.033664726,8.544546303
2021,Bangladesh,5.025,0.693,64.8,0.877,0.682,-0.041,8.454
2015,Belarus,5.813,1.23289,0.73608,0.37938,0.1909,0.11046,9.803427696
2016,Belarus,5.802,1.04993,0.63104,0.29091,0.17457,0.13942,9.786163716
2017,Belarus,5.568999767,1.444945216,0.637714267,0.295400262,0.156313822,0.155137509,9.817717265
2018,Belarus,5.483,1.498,0.7,0.307,0.154,0.101,9.87458789
2019,Belarus,5.323,1.465,0.789,0.235,0.142,0.094,9.908202709
2020,Belarus,5.539899826,0.90674746,66.10433197,0.639163077,0.63571167,-0.164926544,9.915376687
2021,Belarus,5.534,0.91,66.253,0.65,0.627,-0.18,9.853
2015,Belgium,6.937,1.28566,0.89667,0.5845,0.2254,0.2225,10.74075465
2016,Belgium,6.929,1.05249,0.81959,0.51354,0.26248,0.2424,10.79132531
2017,Belgium,6.890999794,1.462312698,0.818091869,0.539770722,0.251343131,0.231503338,10.8285848
2018,Belgium,6.927,1.483,0.894,0.583,0.24,0.188,10.8691039
2019,Belgium,6.923,1.504,0.986,0.473,0.21,0.16,10.90171791
2020,Belgium,6.863500118,0.911632538,72.00164795,0.813582063,0.612297952,-0.078691199,10.87870662
2021,Belgium,6.834,0.906,72.199,0.783,0.646,-0.153,10.823
2015,Benin,3.34,0.35386,0.3191,0.4845,0.0801,0.1826,7.967913994
2016,Benin,3.484,0.10419,0.21028,0.39747,0.06681,0.2018,8.007968887
2017,Benin,3.657000065,0.435299844,0.209930211,0.425962776,0.060929015,0.207948461,8.021097598
2018,Benin,4.141,0.372,0.24,0.44,0.067,0.163,8.082300431
2019,Benin,4.883,0.437,0.397,0.349,0.082,0.175,8.139244896
2020,Benin,5.21600008,0.468671143,54.31246567,0.735182583,0.740532577,-0.003537213,8.162066863
2021,Benin,5.045,0.489,54.713,0.757,0.661,-0.034,8.087
2015,Bolivia,5.89,0.97841,0.5392,0.57414,0.088,0.20536,8.872609584
2016,Bolivia,5.822,0.83779,0.4697,0.50961,0.07746,0.21698,8.922627998
2017,Bolivia,5.822999954,1.227619052,0.47363025,0.558732927,0.060477726,0.225560725,9.038804151
2018,Bolivia,5.752,1.223,0.508,0.606,0.054,0.141,9.089679981
2019,Bolivia,5.779,1.209,0.706,0.511,0.064,0.137,9.115307636
2020,Bolivia,5.747499943,0.803108692,63.6004715,0.875873327,0.822606206,-0.09168113,9.021053594
2021,Bolivia,5.716,0.81,63.901,0.875,0.839,-0.077,9.046
2015,Bosnia and Herzegovina,4.949,0.91916,0.79081,0.09245,0.00227,0.24808,9.393558152
2016,Bosnia and Herzegovina,5.163,0.64367,0.70766,0.09511,0,0.29889,9.478241817
2017,Bosnia and Herzegovina,5.18200016,1.069335938,0.705186307,0.204403177,0,0.328867495,9.529073151
2018,Bosnia and Herzegovina,5.129,1.078,0.758,0.28,0,0.216,9.60923603
2019,Bosnia and Herzegovina,5.386,1.212,0.845,0.212,0.006,0.263,9.663209001
2020,Bosnia and Herzegovina,5.674099922,0.829204142,67.80813599,0.651352704,0.933769107,0.098274559,9.656505705
2021,Bosnia and Herzegovina,5.813,0.87,68.098,0.706,0.931,0.113,9.59
2015,Botswana,4.332,1.10464,0.04776,0.49495,0.12474,0.10461,9.591482625
2016,Botswana,3.974,0.89186,0.34752,0.44089,0.10769,0.12425,9.719475798
2017,Botswana,3.766000032,1.221554995,0.341755509,0.505196333,0.098583199,0.099348448,9.677090716
2018,Botswana,3.59,1.174,0.417,0.557,0.092,0.042,9.717874849
2019,Botswana,3.488,1.145,0.538,0.455,0.1,0.025,9.743275501
2020,Botswana,3.478899956,0.779121757,58.92445374,0.821328104,0.777930915,-0.250394493,9.64591317
2021,Botswana,3.467,0.784,59.269,0.824,0.801,-0.246,9.782
2015,Brazil,6.983,1.23287,0.69702,0.49049,0.17521,0.14574,9.598599206
2016,Brazil,6.952,1.03938,0.61415,0.40425,0.14166,0.15776,9.564944611
2017,Brazil,6.635000229,1.431306005,0.616552353,0.437453747,0.111092761,0.162349895,9.583599975
2018,Brazil,6.419,1.474,0.675,0.493,0.088,0.11,9.617167101
2019,Brazil,6.3,1.439,0.802,0.39,0.086,0.099,9.64135853
2020,Brazil,6.375599861,0.896723807,66.48016357,0.799804807,0.770601273,-0.101812392,9.604772502
2021,Brazil,6.33,0.882,66.601,0.804,0.756,-0.071,9.577
2015,Bulgaria,4.218,1.10614,0.76649,0.30587,0.00872,0.11921,9.819667123
2016,Bulgaria,4.217,0.92542,0.67806,0.21219,0.00615,0.12793,9.90719947
2017,Bulgaria,4.714000225,1.434379458,0.70821768,0.289231718,0.011051531,0.113177694,9.97440935
2018,Bulgaria,4.933,1.515,0.712,0.359,0.009,0.064,10.04281921
2019,Bulgaria,5.011,1.513,0.815,0.311,0.004,0.081,10.10739904
2020,Bulgaria,5.101500034,0.937840343,66.80397797,0.745178163,0.935585141,-0.143908441,10.11106397
2021,Bulgaria,5.266,0.931,67,0.788,0.932,-0.096,10.016
2015,Burkina Faso,3.587,0.85188,0.27125,0.39493,0.12832,0.21747,7.446305093
2016,Burkina Faso,3.739,0.63054,0.21297,0.3337,0.12533,0.24353,7.547129813
2017,Burkina Faso,4.032000065,1.043280005,0.215844259,0.324367851,0.120328106,0.250864685,7.622853262
2018,Burkina Faso,4.424,1.097,0.254,0.312,0.128,0.175,7.681865765
2019,Burkina Faso,4.587,1.056,0.38,0.255,0.113,0.177,7.726436109
2020,Burkina Faso,4.768700123,0.712943614,53.88945389,0.665563583,0.739795029,-0.019080516,7.729303076
2021,Burkina Faso,4.834,0.672,54.151,0.695,0.748,-0.009,7.678
2015,Burundi,2.905,0.41587,0.22396,0.1185,0.10062,0.19727,6.735359529
2016,Burundi,2.905,0.23442,0.15747,0.0432,0.09419,0.2029,6.680784517
2017,Burundi,2.904999971,0.629793584,0.151610792,0.059900753,0.084147945,0.204435185,6.651019859
2018,Burundi,2.905,0.627,0.145,0.065,0.076,0.149,6.659047961
2019,Burundi,3.775,0.447,0.38,0.22,0.18,0.176,6.663709775
